epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
70,9722.36,1.60114,1.24618,1.00912,0.40516,0.29499,0.28297,0.16011,1.44546,1.10449,0.95858,0.0065845,0.0065845,0.0065845
71,9833.96,1.60852,1.25078,1.0082,0.40765,0.2954,0.2841,0.16067,1.44485,1.10037,0.95844,0.006535,0.006535,0.006535
72,9943.07,1.60815,1.24549,1.00337,0.41074,0.29631,0.28667,0.16178,1.444,1.09822,0.95786,0.0064855,0.0064855,0.0064855
73,10049.3,1.59975,1.23974,1.00533,0.40931,0.29751,0.28625,0.16183,1.44256,1.09434,0.95683,0.006436,0.006436,0.006436
74,10156.2,1.59988,1.23788,1.00229,0.4044,0.29898,0.28582,0.16225,1.4414,1.09377,0.95627,0.0063865,0.0063865,0.0063865
75,10263.6,1.59747,1.23288,1.00642,0.40967,0.29714,0.28723,0.16308,1.4397,1.09321,0.95591,0.006337,0.006337,0.006337
76,10370.9,1.59646,1.23449,1.00321,0.40519,0.29941,0.28651,0.16214,1.43743,1.09241,0.9551,0.0062875,0.0062875,0.0062875
77,10476,1.59405,1.23495,1.00426,0.4093,0.29866,0.28762,0.16274,1.43552,1.08937,0.95507,0.006238,0.006238,0.006238
78,10582.7,1.59677,1.23115,1.00178,0.41056,0.29895,0.28872,0.16375,1.43273,1.0865,0.95387,0.0061885,0.0061885,0.0061885
79,10688,1.58725,1.21884,1.00387,0.40442,0.30153,0.28931,0.16388,1.4335,1.08596,0.95456,0.006139,0.006139,0.006139
80,10795.7,1.59214,1.22953,1.00245,0.40466,0.3023,0.28993,0.1648,1.4319,1.08475,0.95419,0.0060895,0.0060895,0.0060895
81,10903,1.59138,1.22978,1.00363,0.41037,0.29947,0.28979,0.16472,1.43161,1.08536,0.95422,0.00604,0.00604,0.00604
82,11010,1.58514,1.22414,0.998,0.40949,0.30077,0.29089,0.16553,1.43125,1.08354,0.95345,0.0059905,0.0059905,0.0059905
83,11117.7,1.585,1.21913,1.00187,0.41338,0.30271,0.29239,0.16614,1.42904,1.08046,0.95283,0.005941,0.005941,0.005941
84,11223.7,1.58048,1.21968,1.00021,0.4178,0.30261,0.29276,0.16672,1.42597,1.08006,0.95194,0.0058915,0.0058915,0.0058915
85,11330.5,1.57949,1.21558,0.99635,0.41902,0.30255,0.29322,0.16718,1.42617,1.07849,0.95179,0.005842,0.005842,0.005842
86,11437.8,1.58076,1.21442,0.99972,0.41783,0.304,0.29393,0.16735,1.42662,1.07964,0.9516,0.0057925,0.0057925,0.0057925
87,11545.4,1.58137,1.2162,0.99947,0.41498,0.30518,0.29368,0.16733,1.42467,1.07589,0.95101,0.005743,0.005743,0.005743
88,11653.6,1.57915,1.22181,0.99853,0.41948,0.30496,0.29501,0.1681,1.42392,1.07536,0.95082,0.0056935,0.0056935,0.0056935
89,11761.3,1.57559,1.21341,0.99664,0.41743,0.30783,0.29507,0.16793,1.42173,1.07338,0.95075,0.005644,0.005644,0.005644
90,11869.5,1.56969,1.21288,0.99695,0.4159,0.30606,0.29524,0.16822,1.42196,1.07193,0.95052,0.0055945,0.0055945,0.0055945
