epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
129,17224.8,1.55559,1.18477,0.98792,0.4177,0.3163,0.30564,0.17478,1.40332,1.05414,0.94494,0.003664,0.003664,0.003664
130,17339.8,1.53989,1.17456,0.98456,0.41704,0.31683,0.30586,0.17475,1.40277,1.05315,0.94481,0.0036145,0.0036145,0.0036145
131,17458,1.54906,1.18212,0.98887,0.41937,0.31699,0.30609,0.17506,1.40241,1.05247,0.94458,0.003565,0.003565,0.003565
132,17578.5,1.54879,1.17548,0.98643,0.42231,0.31638,0.30637,0.17535,1.40218,1.05134,0.94437,0.0035155,0.0035155,0.0035155
133,17697.3,1.54998,1.18186,0.9886,0.42211,0.31647,0.3066,0.17548,1.40139,1.0507,0.9441,0.003466,0.003466,0.003466
134,17816.4,1.54314,1.1727,0.98768,0.42264,0.31655,0.30686,0.17558,1.40109,1.05026,0.94391,0.0034165,0.0034165,0.0034165
135,17935.1,1.53444,1.1641,0.98319,0.42342,0.31758,0.30727,0.17578,1.40073,1.0494,0.94382,0.003367,0.003367,0.003367
136,18053.5,1.53477,1.16645,0.98525,0.42552,0.31723,0.30719,0.17593,1.40036,1.04892,0.94363,0.0033175,0.0033175,0.0033175
137,18172.5,1.5331,1.16424,0.9847,0.4263,0.31753,0.30723,0.17619,1.39988,1.04835,0.94351,0.003268,0.003268,0.003268
138,18288.9,1.53684,1.17055,0.98514,0.42648,0.31636,0.30739,0.17633,1.39938,1.04799,0.94332,0.0032185,0.0032185,0.0032185
139,18405.7,1.53027,1.16272,0.97998,0.42556,0.31664,0.30759,0.1765,1.39904,1.04744,0.94316,0.003169,0.003169,0.003169
140,18522.9,1.53234,1.15918,0.98232,0.42477,0.31718,0.30817,0.17656,1.39893,1.04701,0.94305,0.0031195,0.0031195,0.0031195
141,18640.6,1.53729,1.1629,0.98437,0.42563,0.31794,0.30851,0.17679,1.39849,1.04649,0.94292,0.00307,0.00307,0.00307
142,18759.6,1.53289,1.16253,0.98485,0.42342,0.31899,0.30854,0.17688,1.39796,1.04589,0.94274,0.0030205,0.0030205,0.0030205
143,18877.2,1.53463,1.16559,0.98525,0.42493,0.31957,0.30898,0.17709,1.39754,1.04537,0.94252,0.002971,0.002971,0.002971
144,18996.3,1.53229,1.16114,0.98451,0.42496,0.31974,0.30898,0.17713,1.39749,1.04497,0.94241,0.0029215,0.0029215,0.0029215
145,19116,1.52928,1.15556,0.98236,0.42563,0.32047,0.30923,0.17722,1.397,1.04444,0.9422,0.002872,0.002872,0.002872
146,19235.5,1.53665,1.16189,0.9823,0.42457,0.32059,0.3092,0.17727,1.3967,1.04387,0.94208,0.0028225,0.0028225,0.0028225
147,19355.9,1.52932,1.15946,0.9822,0.42534,0.32069,0.30946,0.17748,1.39631,1.04348,0.94195,0.002773,0.002773,0.002773
148,19475.7,1.52788,1.15415,0.97984,0.42822,0.31896,0.30969,0.17769,1.39593,1.04298,0.94185,0.0027235,0.0027235,0.0027235
149,19592,1.52075,1.15282,0.97973,0.42659,0.32006,0.3096,0.17771,1.3957,1.0426,0.94174,0.002674,0.002674,0.002674
150,19707.3,1.52748,1.15047,0.97993,0.42549,0.32074,0.31002,0.1779,1.39527,1.04211,0.94161,0.0026245,0.0026245,0.0026245
151,19824.2,1.5294,1.15369,0.98025,0.42384,0.32053,0.31023,0.17801,1.39475,1.04171,0.94138,0.002575,0.002575,0.002575
152,19944.1,1.5324,1.15706,0.98171,0.42553,0.32021,0.31057,0.17812,1.39461,1.04135,0.94131,0.0025255,0.0025255,0.0025255
153,20063.4,1.52264,1.14563,0.97858,0.42515,0.32049,0.31072,0.17823,1.39426,1.04089,0.94116,0.002476,0.002476,0.002476
154,20180.5,1.52198,1.14652,0.97899,0.42455,0.32065,0.31083,0.17832,1.39383,1.04049,0.94101,0.0024265,0.0024265,0.0024265
155,20299.1,1.52335,1.14595,0.97979,0.42299,0.32182,0.31089,0.17834,1.39361,1.04022,0.94091,0.002377,0.002377,0.002377
156,20416.7,1.53002,1.15248,0.98069,0.42327,0.32246,0.31141,0.17849,1.39339,1.03998,0.94084,0.0023275,0.0023275,0.0023275
157,20534.6,1.52064,1.14387,0.97899,0.42454,0.3231,0.31169,0.17866,1.39315,1.03949,0.94075,0.002278,0.002278,0.002278
158,20652.9,1.51588,1.14722,0.97594,0.4258,0.32263,0.31173,0.1787,1.39303,1.03903,0.94067,0.0022285,0.0022285,0.0022285
159,20768.6,1.52359,1.14907,0.98052,0.42652,0.32267,0.31198,0.17889,1.39289,1.03853,0.94058,0.002179,0.002179,0.002179
160,20884.6,1.52011,1.14255,0.97752,0.42666,0.32306,0.31222,0.179,1.39271,1.03811,0.94049,0.0021295,0.0021295,0.0021295
161,21000.6,1.51811,1.13865,0.97662,0.42604,0.32302,0.31241,0.17908,1.39249,1.03783,0.94038,0.00208,0.00208,0.00208
162,21116.7,1.51248,1.13425,0.97878,0.42812,0.32234,0.31252,0.17913,1.39231,1.03748,0.94031,0.0020305,0.0020305,0.0020305
163,21235.6,1.51539,1.136,0.97738,0.42696,0.32213,0.31266,0.17932,1.39209,1.03719,0.94022,0.001981,0.001981,0.001981
164,21352.4,1.50733,1.12978,0.97373,0.42674,0.32203,0.31289,0.17935,1.39187,1.0368,0.94011,0.0019315,0.0019315,0.0019315
165,21470.1,1.5137,1.13548,0.97384,0.42807,0.32159,0.31295,0.17945,1.39182,1.03647,0.94005,0.001882,0.001882,0.001882
166,21587.8,1.51782,1.13536,0.97677,0.42792,0.3218,0.31307,0.17953,1.39157,1.03615,0.93995,0.0018325,0.0018325,0.0018325
167,21705.7,1.51001,1.1319,0.97614,0.42847,0.32204,0.31339,0.1796,1.39144,1.03589,0.93986,0.001783,0.001783,0.001783
168,21824.2,1.50616,1.12946,0.97357,0.42793,0.32215,0.31352,0.1797,1.39134,1.03556,0.93977,0.0017335,0.0017335,0.0017335
169,21941.3,1.50929,1.13396,0.97583,0.42787,0.32211,0.31363,0.17977,1.39115,1.0353,0.9397,0.001684,0.001684,0.001684
170,22057.3,1.50395,1.12957,0.97582,0.42804,0.32249,0.31385,0.17994,1.39083,1.03489,0.93959,0.0016345,0.0016345,0.0016345
171,22172.1,1.51073,1.13076,0.97567,0.42837,0.32271,0.31396,0.18005,1.39073,1.03469,0.93951,0.001585,0.001585,0.001585
